,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
133,PRM,"Perimeter Solutions, SA",935.61M,-3.27%,714392,322.11M
134,LAC,Lithium Americas Corp.,924.31M,4.54%,20923348,-
135,SXC,"SunCoke Energy, Inc.",919.87M,-1.73%,1208769,2.06B
136,NG,NovaGold Resources Inc.,866.02M,0.77%,2382298,-
137,METCB,"Ramaco Resources, Inc.",841.38M,-2.73%,16093,626.02M
138,METC,"Ramaco Resources, Inc.",839.07M,-2.05%,1046617,693.52M
139,CMP,"Compass Minerals International, Inc.",836.55M,-5.58%,894463,1.19B
140,SSRM,SSR Mining Inc.,830.10M,-1.91%,3125009,1.43B
141,ASTL,Algoma Steel Group Inc.,827.10M,-3.90%,504834,2.14B
142,GSM,Ferroglobe PLC,815.92M,-0.68%,1261018,1.65B
143,LAAC,Lithium Americas (Argentina) Corp.,813.74M,-0.20%,2456667,-
144,WLKP,Westlake Chemical Partners LP,797.74M,-0.57%,17415,1.19B
145,BIOX,Bioceres Crop Solutions Corp.,783.17M,-0.93%,21572,450.32M
146,REX,REX American Resources Corporation,758.87M,-0.57%,125123,845.94M
147,ZEUS,"Olympic Steel, Inc.",726.51M,-1.06%,99955,2.16B
148,NFGC,New Found Gold Corp.,704.51M,-1.59%,329078,-
149,DRD,DRDGOLD Limited,695.23M,-2.65%,214650,16.81M
150,ASIX,AdvanSix Inc.,692.61M,-4.74%,142038,1.53B
151,CLW,Clearwater Paper Corporation,685.24M,-1.95%,338212,2.08B
152,UAN,"CVR Partners, LP",682.58M,-0.94%,23322,681.48M
153,LVRO,Lavoro Limited,647.17M,-3.98%,16535,1.90B
154,MERC,Mercer International Inc.,639.97M,-4.47%,144510,1.99B
155,CPAC,Cementos Pacasmayo S.A.A.,564.24M,1.24%,8487,525.63M
156,TMC,TMC the metals company Inc.,560.65M,-6.56%,3164424,-
157,TGB,Taseko Mines Limited,548.01M,-2.62%,3162969,394.72M
158,LXU,"LSB Industries, Inc.",539.44M,-3.11%,547389,593.71M
159,GATO,"Gatos Silver, Inc.",534.77M,-2.50%,262694,-
160,ODC,Oil-Dri Corporation of America,516.36M,-1.21%,14340,429.92M
161,HDSN,"Hudson Technologies, Inc.",512.36M,2.93%,394652,289.03M
162,IAUX,i-80 Gold Corp.,504.24M,-8.07%,2454744,54.91M
163,EXK,Endeavour Silver Corp.,501.18M,-,6115769,205.46M
164,LZM,Lifezone Metals Limited,496.53M,9.57%,83412,3.99M
165,SVM,Silvercorp Metals Inc.,494.44M,-1.40%,1577090,206.65M
166,LWLG,"Lightwave Logic, Inc.",491.04M,-3.64%,831022,40.50K
167,ARMN,Aris Mining Corporation,458.25M,-,83517,447.67M
168,MUX,McEwen Mining Inc.,436.16M,-4.19%,582122,135.79M
169,VHI,"Valhi, Inc.",426.87M,-4.04%,9068,1.98B
170,SKE,Skeena Resources Limited,405.99M,-2.00%,151589,-
171,IPX,IperionX Limited,304.69M,-2.06%,21628,-
172,AVD,American Vanguard Corporation,304.47M,-5.36%,230417,567.17M
173,VZLA,Vizsla Silver Corp.,286.43M,-4.03%,303769,-
174,GROY,Gold Royalty Corp.,284.89M,-3.43%,477005,2.61M
175,MTA,Metalla Royalty & Streaming Ltd.,282.60M,-2.87%,491566,2.91M
176,GAU,Galiano Gold Inc.,270.26M,-3.25%,389315,-
177,RYAM,Rayonier Advanced Materials Inc.,266.82M,0.25%,279643,1.64B
178,PLL,Piedmont Lithium Inc.,256.92M,-5.58%,625187,39.82M
179,WRN,Western Copper and Gold Corporation,256.20M,-1.63%,435613,-
180,PPTA,Perpetua Resources Corp.,253.06M,-5.05%,376754,-
181,IPI,"Intrepid Potash, Inc.",252.83M,-3.79%,113776,279.08M
182,FF,FutureFuel Corp.,249.01M,20.91%,4674551,368.25M
183,IONR,ioneer Ltd,236.48M,-,5033,-
184,MSB,Mesabi Trust,228.42M,-2.36%,31428,14.46M
