,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
117,BCH,Banco de Chile,12.03B,0.68%,345113,3.21B
118,CNA,CNA Financial Corporation,11.94B,0.07%,174852,13.30B
119,KNSL,"Kinsale Capital Group, Inc.",11.87B,-1.58%,183190,1.22B
120,EQH,"Equitable Holdings, Inc.",11.59B,0.37%,3108205,10.53B
121,ALLY,Ally Financial Inc.,11.51B,-2.03%,4820418,8.21B
122,GL,Globe Life Inc.,11.16B,-2.59%,1595570,5.45B
123,AFG,"American Financial Group, Inc.",10.91B,0.87%,348330,7.83B
124,UWMC,UWM Holdings Corporation,10.78B,-2.89%,1800729,1.31B
125,EWBC,"East West Bancorp, Inc.",10.73B,-2.67%,1347719,2.48B
126,AEG,Aegon N.V.,10.27B,-0.69%,1611650,-11.08B
127,UNM,Unum Group,9.89B,0.72%,1298845,12.39B
128,BSAC,Banco Santander-Chile,9.66B,-0.97%,257094,2.19B
129,JEF,Jefferies Financial Group Inc.,9.39B,-1.26%,1181091,4.70B
130,AIZ,"Assurant, Inc.",9.35B,-0.93%,353412,11.13B
131,FUTU,Futu Holdings Limited,9.13B,-13.76%,7040651,1.28B
132,SEIC,SEI Investments Company,9.13B,-0.58%,504989,1.92B
133,WF,Woori Financial Group Inc.,8.85B,1.79%,35838,8.25B
134,PRI,"Primerica, Inc.",8.67B,-1.27%,135591,2.82B
135,MKTX,MarketAxess Holdings Inc.,8.52B,-3.69%,467289,752.55M
136,HLI,"Houlihan Lokey, Inc.",8.49B,-0.62%,253827,1.84B
137,WBS,Webster Financial Corporation,8.26B,-2.10%,1086958,2.50B
138,ORI,Old Republic International Corporation,8.16B,-0.65%,1418489,7.26B
139,FHN,First Horizon Corporation,8.15B,-0.27%,6570137,3.21B
140,CIB,Bancolombia S.A.,7.82B,-0.67%,189047,4.25B
141,SF,Stifel Financial Corp.,7.71B,-1.89%,475165,4.35B
142,EVR,Evercore Inc.,7.53B,-2.42%,356401,2.43B
143,VOYA,"Voya Financial, Inc.",7.19B,-1.33%,1550051,7.35B
144,IVZ,Invesco Ltd.,7.07B,-2.22%,4453035,5.72B
145,CFR,Cullen Frost Bankers Inc.,6.92B,-1.88%,527014,1.94B
146,SOFI,"SoFi Technologies, Inc.",6.89B,-4.47%,69019457,2.12B
147,CMA,Comerica Incorporated,6.85B,-3.33%,2494517,3.50B
148,CACC,Credit Acceptance Corporation,6.83B,-0.85%,52377,1.90B
149,CBSH,"Commerce Bancshares, Inc.",6.75B,-2.02%,361942,1.54B
150,RLI,RLI Corp.,6.74B,-1.10%,112606,1.51B
151,WAL,Western Alliance Bancorporation,6.49B,-3.12%,1223483,2.56B
152,SIGI,"Selective Insurance Group, Inc.",6.35B,-1.31%,297525,4.23B
153,PNFP,"Pinnacle Financial Partners, Inc.",6.32B,-2.13%,355306,1.60B
154,SSB,SouthState Corporation,6.10B,-2.10%,476620,1.63B
155,ZION,"Zions Bancorporation,NA",6.08B,-3.09%,2781880,2.98B
156,BPOP,"Popular, Inc.",6.05B,-2.11%,553703,2.57B
157,WTFC,Wintrust Financial Corporation,5.99B,-1.21%,394579,2.16B
158,ESNT,Essent Group Ltd.,5.97B,-1.00%,400423,1.11B
159,HLNE,Hamilton Lane Incorporated,5.94B,-0.98%,277189,489.97M
160,OBDC,Blue Owl Capital Corporation,5.88B,-1.64%,1575591,1.58B
161,PB,"Prosperity Bancshares, Inc.",5.84B,-2.10%,523941,1.09B
162,FAF,First American Financial Corporation,5.82B,-1.79%,669400,6.00B
163,OMF,"OneMain Holdings, Inc.",5.79B,-1.05%,1062409,2.56B
164,SNV,Synovus Financial Corp.,5.71B,-2.38%,1204918,2.03B
165,BOKF,BOK Financial Corporation,5.66B,-0.90%,402392,2.02B
166,MTG,MGIC Investment Corporation,5.66B,0.10%,2692007,1.16B
167,FCFS,"FirstCash Holdings, Inc",5.43B,-2.12%,173680,3.15B
168,AXS,AXIS Capital Holdings Limited,5.29B,0.70%,451382,5.64B
169,AMG,"Affiliated Managers Group, Inc.",5.28B,-0.07%,317307,2.06B
170,FSK,FS KKR Capital Corp.,5.23B,-1.61%,1890387,1.83B
171,JHG,Janus Henderson Group plc,5.04B,-1.60%,897059,2.10B
172,AGO,Assured Guaranty Ltd.,5.03B,0.06%,313608,1.37B
173,CADE,Cadence Bank,4.90B,-2.40%,1379640,1.65B
174,OZK,Bank OZK,4.87B,-2.20%,1046538,1.79B
175,MARA,"Marathon Digital Holdings, Inc.",4.86B,-7.46%,60340483,387.51M
176,ONB,Old National Bancorp,4.85B,-2.41%,1553746,1.78B
177,FNB,F.N.B. Corporation,4.85B,-1.63%,2049218,1.50B
178,RDN,Radian Group Inc.,4.80B,-0.22%,1500478,1.24B
179,HOMB,"Home Bancshares, Inc. (Conway, AR)",4.77B,-2.23%,949541,984.75M
180,JXN,Jackson Financial Inc.,4.77B,0.37%,1090782,3.16B
181,COOP,Mr. Cooper Group Inc.,4.73B,0.15%,480220,1.79B
182,THG,"The Hanover Insurance Group, Inc.",4.70B,-0.79%,135709,5.99B
183,ACT,"Enact Holdings, Inc.",4.69B,-1.05%,223626,1.15B
184,SLM,SLM Corporation,4.65B,-1.14%,2549471,1.46B
185,UBSI,"United Bankshares, Inc.",4.63B,-3.32%,663752,1.02B
186,FG,"F&G Annuities & Life, Inc.",4.59B,-0.11%,237185,4.50B
187,BNRE,Brookfield Reinsurance Ltd.,4.59B,-2.19%,5865,6.25B
188,ESGR,Enstar Group Limited,4.57B,0.56%,53395,1.43B
189,LNC,Lincoln National Corporation,4.55B,-1.94%,1802889,11.65B
190,WU,The Western Union Company,4.50B,0.04%,5671673,4.36B
