,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
110,COCO,"The Vita Coco Company, Inc.",1.45B,-1.17%,407227,493.61M
111,IMKTA,"Ingles Markets, Incorporated",1.42B,-1.34%,70420,5.88B
112,UVV,Universal Corporation,1.25B,-1.67%,349694,2.67B
113,JBSS,"Sanfilippo (John B.) & Son, Inc",1.21B,-0.04%,105916,998.08M
114,FDP,Fresh Del Monte Produce Inc.,1.18B,-1.78%,220438,4.32B
115,KLG,WK Kellogg Co,1.17B,0.76%,1413170,2.76B
116,PRDO,Perdoceo Education Corporation,1.17B,-0.28%,470633,710.00M
117,DOLE,Dole plc,1.12B,-1.86%,349080,8.25B
118,AGRO,Adecoagro S.A.,1.11B,-0.77%,429093,1.30B
119,NAPA,"The Duckhorn Portfolio, Inc.",1.06B,-0.22%,1086340,396.89M
120,BRCC,BRC Inc.,1.03B,-1.71%,850784,395.62M
121,USNA,"USANA Health Sciences, Inc.",963.56M,-2.16%,91361,921.01M
122,WEST,"Westrock Coffee Company, LLC",919.25M,-5.36%,313721,877.47M
123,VITL,"Vital Farms, Inc.",900.29M,3.48%,626217,471.86M
124,HLF,Herbalife Nutrition Ltd.,900.08M,-3.53%,1868034,5.06B
125,BGS,"B&G Foods, Inc.",874.30M,0.09%,1683235,2.06B
126,AVO,"Mission Produce, Inc.",834.58M,-1.50%,278830,999.10M
127,CHGG,"Chegg, Inc.",826.68M,-1.99%,2227848,716.30M
128,STKL,SunOpta Inc.,818.04M,-1.84%,985370,630.30M
129,UTI,"Universal Technical Institute, Inc.",809.20M,-3.12%,528294,662.10M
130,HAIN,"The Hain Celestial Group, Inc.",786.93M,-3.63%,829734,1.78B
131,EWCZ,"European Wax Center, Inc.",769.37M,-3.00%,487884,221.02M
132,UNFI,"United Natural Foods, Inc.",720.97M,-4.20%,625909,30.25B
133,SPTN,SpartanNash Company,683.87M,-1.16%,272923,9.73B
134,NUS,"Nu Skin Enterprises, Inc.",652.36M,-2.80%,984636,1.97B
135,OTLY,Oatly Group AB,605.07M,-6.42%,1869809,783.35M
136,BYND,"Beyond Meat, Inc.",573.69M,-7.22%,2715709,343.38M
