,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
119,PATH,UiPath Inc.,12.88B,-6.88%,34441450,1.31B
120,GRAB,Grab Holdings Limited,12.77B,0.31%,13514704,2.36B
121,AZPN,"Aspen Technology, Inc.",12.77B,0.02%,244859,1.06B
122,JKHY,"Jack Henry & Associates, Inc.",12.56B,-0.89%,308257,2.16B
123,DOCU,"DocuSign, Inc.",12.12B,-3.28%,3145760,2.76B
124,FLEX,Flex Ltd.,12.11B,-1.81%,5044266,29.39B
125,JNPR,"Juniper Networks, Inc.",11.87B,-0.33%,3820429,5.56B
126,PCOR,"Procore Technologies, Inc.",11.44B,-0.09%,1576448,950.01M
127,ZI,ZoomInfo Technologies Inc.,11.27B,-2.69%,5735973,1.24B
128,FFIV,"F5, Inc.",11.23B,-1.43%,440995,2.81B
129,QRVO,"Qorvo, Inc.",11.01B,-2.20%,1685608,3.46B
130,DOX,Amdocs Limited,10.83B,-0.67%,580212,4.95B
131,CYBR,CyberArk Software Ltd.,10.78B,-0.87%,405966,751.89M
132,LSCC,Lattice Semiconductor Corporation,10.72B,-1.85%,1870310,737.15M
133,ESTC,Elastic N.V.,10.71B,-2.98%,853363,1.21B
134,PAYC,"Paycom Software, Inc.",10.65B,0.82%,819973,1.69B
135,DAY,Dayforce Inc,10.53B,-0.04%,782403,1.51B
136,MNDY,monday.com Ltd.,10.50B,-0.85%,378738,729.70M
137,OTEX,Open Text Corporation,10.46B,-1.00%,436722,5.70B
138,AFRM,"Affirm Holdings, Inc.",10.33B,-13.84%,13528892,1.91B
139,INFA,Informatica Inc.,10.04B,-0.41%,1178089,1.60B
140,U,Unity Software Inc.,10.01B,-0.69%,9061093,2.19B
141,CFLT,"Confluent, Inc.",9.88B,-1.77%,3993343,776.95M
142,DUOL,"Duolingo, Inc.",9.79B,1.18%,556279,531.11M
143,WEX,WEX Inc.,9.76B,0.24%,182672,2.55B
144,GWRE,"Guidewire Software, Inc.",9.57B,-0.30%,525802,925.75M
145,PCTY,Paylocity Holding Corporation,9.43B,-0.73%,340340,1.29B
146,GLOB,Globant S.A.,9.29B,0.19%,270454,2.10B
147,SNX,TD SYNNEX Corporation,9.05B,-0.89%,518440,57.56B
148,COHR,"Coherent, Inc.",9.03B,-3.30%,1295697,4.63B
149,GTLB,GitLab Inc.,8.77B,-1.62%,2501352,579.91M
150,ONTO,Onto Innovation Inc.,8.70B,-1.14%,416743,815.87M
151,NXT,Nextracker Inc.,8.55B,-2.38%,3872696,2.28B
152,MKSI,"MKS Instruments, Inc.",8.37B,-1.79%,617000,3.62B
153,S,"SentinelOne, Inc.",8.34B,-16.64%,27570165,621.15M
154,CACI,CACI International Inc,8.33B,-0.52%,76699,7.13B
155,DBX,"Dropbox, Inc.",8.27B,0.71%,4310231,2.50B
156,WIX,Wix.com Ltd.,8.15B,-3.01%,375292,1.56B
157,APPF,"AppFolio, Inc.",7.99B,-1.29%,142037,620.45M
158,DLB,"Dolby Laboratories, Inc.",7.98B,-0.82%,294966,1.28B
159,DSGX,The Descartes Systems Group Inc.,7.92B,-0.23%,158628,572.93M
160,AMKR,"Amkor Technology, Inc.",7.74B,-4.90%,1444035,6.50B
161,OLED,Universal Display Corporation,7.72B,-1.59%,301711,576.43M
162,CIEN,Ciena Corporation,7.46B,-2.58%,1848917,4.37B
163,YMM,Full Truck Alliance Co. Ltd.,7.45B,-1.54%,17986991,1.19B
164,SAIC,Science Applications International Corporation,7.45B,-0.26%,351040,7.68B
165,CCCS,CCC Intelligent Solutions Holdings Inc.,7.41B,-1.14%,3896638,866.38M
166,FN,Fabrinet,7.34B,-2.08%,330575,2.72B
167,LYFT,"Lyft, Inc.",7.30B,-2.46%,11070061,4.40B
168,BILL,BILL Holdings Inc,7.10B,-4.10%,1628444,1.19B
169,CGNX,Cognex Corporation,6.98B,-0.49%,1291606,837.55M
170,UI,Ubiquiti Inc.,6.87B,-3.75%,78386,1.88B
171,SPSC,"SPS Commerce, Inc.",6.78B,-1.56%,161341,536.91M
172,ALTR,Altair Engineering Inc.,6.72B,0.20%,431357,612.70M
173,RMBS,Rambus Inc.,6.68B,-0.85%,1315346,461.12M
174,ARW,"Arrow Electronics, Inc.",6.63B,-1.10%,484212,33.11B
175,FOUR,"Shift4 Payments, Inc.",6.58B,-4.61%,1580923,2.56B
176,VNT,Vontier Corporation,6.56B,-0.51%,780611,3.10B
177,MTSI,"MACOM Technology Solutions Holdings, Inc.",6.50B,-1.55%,266788,625.45M
178,KVYO,"Klaviyo, Inc.",6.38B,-3.32%,2005554,698.10M
179,QLYS,"Qualys, Inc.",6.30B,-2.49%,421774,554.46M
180,NOVT,Novanta Inc.,6.11B,-2.37%,111172,881.66M
181,G,Genpact Limited,6.11B,-1.18%,1951418,4.48B
182,NSIT,"Insight Enterprises, Inc.",6.03B,-0.39%,285054,9.18B
183,LFUS,"Littelfuse, Inc.",5.83B,-1.39%,122919,2.36B
184,DV,"DoubleVerify Holdings, Inc.",5.63B,-0.24%,1999450,572.54M
