,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
175,SGA,"Saga Communications, Inc.",143.35M,-0.90%,27553,113.75M
176,EVC,Entravision Communications Corporation,140.93M,-8.00%,2132854,1.08B
177,TZOO,Travelzoo,139.44M,-0.99%,142820,81.94M
178,SKLZ,Skillz Inc.,139.30M,-10.11%,285934,163.66M
179,CXDO,"Crexendo, Inc.",125.90M,-7.21%,383432,53.20M
180,BRAG,Bragg Gaming Group Inc.,120.03M,-3.15%,9526,99.83M
181,FNGR,"FingerMotion, Inc.",117.70M,-3.45%,115382,40.40M
182,HRYU,"Hanryu Holdings, Inc.",114.06M,-11.82%,480936,1.37M
183,GMGI,"Golden Matrix Group, Inc.",108.02M,0.68%,34816,45.24M
184,UONE,"Urban One, Inc.",100.75M,-3.59%,60909,489.39M
185,XNET,Xunlei Limited,100.59M,-6.13%,128795,363.72M
186,WIMI,WiMi Hologram Cloud Inc.,95.38M,30.91%,54202036,70.82M
187,KUKE,Kuke Music Holding Limited,83.46M,5.06%,28741,-
188,SCOR,"comScore, Inc.",76.08M,-0.19%,26419,371.34M
189,CMCM,Cheetah Mobile Inc.,74.58M,-0.40%,18966,126.84M
190,GAIA,"Gaia, Inc.",73.95M,1.02%,16086,79.29M
191,BHAT,Blue Hat Interactive Entertainment Technology,65.99M,-1.77%,31125,51.69M
192,MNY,MoneyHero Limited,65.12M,-0.59%,166195,123.27M
193,LEE,"Lee Enterprises, Incorporated",63.89M,-0.38%,11716,661.68M
194,INUV,"Inuvo, Inc.",63.35M,-3.60%,486959,73.91M
195,RDI,"Reading International, Inc.",62.84M,-,11194,224.63M
196,CMLS,Cumulus Media Inc.,62.19M,-4.29%,88266,844.55M
197,MATH,Metalpha Technology Holding Limited,60.96M,1.82%,27834,5.69M
198,BZFD,"BuzzFeed, Inc.",60.76M,-2.47%,1618191,352.98M
199,KORE,"KORE Group Holdings, Inc.",59.31M,-2.78%,217779,266.66M
200,UCL,uCloudlink Group Inc.,57.69M,-10.49%,59518,27.01M
201,MCHX,"Marchex, Inc.",57.61M,-2.26%,10426,49.81M
202,BODI,Beachbody Company Inc,55.60M,-8.19%,64487,527.11M
203,STCN,"Steel Connect, Inc.",55.15M,-2.73%,9916,179.07M
204,HHS,"Harte Hanks, Inc.",54.70M,0.66%,11900,196.78M
205,ZDGE,"Zedge, Inc.",50.24M,-5.90%,116788,27.42M
206,AREN,"The Arena Group Holdings, Inc.",46.58M,-3.16%,295597,214.52M
207,TOON,Kartoon Studios Inc.,45.38M,-7.19%,179092,54.35M
208,ABLV,Able View Inc.,42.85M,-0.33%,5091,226.92M
209,FLNT,"Fluent, Inc.",42.18M,3.93%,143444,310.30M
210,SJ,Scienjoy Holding Corporation,41.86M,1.95%,21879,216.01M
211,ICLK,iClick Interactive Asia Group Limited,38.82M,-1.53%,1282,150.76M
212,PODC,PodcastOne Inc,38.05M,-2.13%,9488,-
213,SNAL,"Snail, Inc.",37.38M,1.40%,4762,47.64M
214,AGAE,Allied Gaming & Entertainment Inc.,35.37M,-2.08%,14658,6.80M
215,LPTV,"Loop Media, Inc.",32.85M,-26.71%,169145,26.99M
216,IZEA,"IZEA Worldwide, Inc.",31.68M,0.24%,23992,36.12M
217,CURI,CuriosityStream Inc.,28.48M,0.17%,36942,56.61M
218,ANGH,Anghami Inc.,27.51M,-1.10%,5004,46.25M
219,MMV,MultiMetaVerse Holdings Limited,26.92M,4.81%,6282,9.79M
220,STBX,Starbox Group Holdings Ltd.,25.85M,2.70%,100199,11.74M
221,BBGI,"Beasley Broadcast Group, Inc.",24.79M,0.76%,3623,247.11M
222,NCTY,The9 Limited,24.73M,-2.35%,18315,-
223,GAME,GameSquare Holdings Inc,23.90M,2.27%,109807,-
224,DLPN,"Dolphin Entertainment, Inc.",23.77M,-,29386,42.24M
225,HOFV,Hall of Fame Resort & Entertainment Company,23.62M,1.36%,26025,20.52M
226,FENG,Phoenix New Media Limited,21.72M,-4.79%,22452,97.61M
227,DALN,DallasNews Corporation,20.71M,0.52%,9713,139.70M
228,SOGP,Sound Group Inc,20.20M,-7.61%,77864,307.65M
229,TRUG,Trugolf Inc,19.10M,-0.69%,85707,13.79M
230,BREA,Brera Holdings PLC,18.27M,-6.45%,88696,120.79K
231,EDUC,Educational Development Corporation,17.74M,-7.73%,42761,57.04M
232,CHR,"Cheer Holding, Inc.",17.30M,17.72%,458339,152.33M
233,CNVS,Cineverse Corp.,16.66M,-1.57%,50262,51.82M
234,FAZE,FaZe Holdings Inc.,14.12M,-,411115,58.15M
235,KRKR,36Kr Holdings Inc.,14.04M,0.23%,44861,45.86M
236,ANTE,AirNet Technology Inc.,13.80M,-6.02%,9014,918.00K
237,GIGM,GigaMedia Limited,13.65M,3.25%,17002,4.52M
238,LKCO,Luokung Technology Corp.,13.39M,-1.04%,15127,36.98M
239,MDIA,MediaCo Holding Inc.,12.65M,4.15%,1474,24.95M
240,UPXI,"Upexi, Inc.",11.12M,-9.88%,33855,91.21M
241,GXAI,Gaxos.ai Inc.,8.60M,6.97%,1333017,-
242,MIMO,Airspan Networks Holdings Inc.,8.58M,-0.87%,468669,112.81M
243,LDWY,"Lendway, Inc.",8.29M,4.49%,17051,23.57M
244,GDC,GD Culture Group Limited,7.96M,-1.09%,44973,435.48K
245,VSME,VS Media Holdings Limited,7.75M,-3.56%,92636,9.03M
246,LCFY,Locafy Limited,7.70M,2.91%,265,-
247,ASST,Asset Entities Inc.,7.69M,3.48%,70052,259.15K
248,SLE,"Super League Enterprise, Inc.",7.50M,-4.84%,18417,22.69M
249,CNET,ZW Data Action Technologies Inc.,6.91M,4.40%,7384,29.74M
250,CPOP,"Pop Culture Group Co., Ltd",6.22M,1.96%,72420,18.54M
251,MGOL,MGO Global Inc.,6.14M,2.61%,63576,4.47M
252,MSGM,Motorsport Games Inc.,5.74M,-1.86%,3070,8.93M
253,ADD,"Color Star Technology Co., Ltd.",5.68M,5.21%,138803,-
254,BAOS,Baosheng Media Group Holdings Limited,5.39M,-3.33%,21120,3.46M
255,CSSE,"Chicken Soup for the Soul Entertainment, Inc.",4.81M,-2.16%,64032,368.81M
256,MGAM,Mobile Global Esports Inc.,4.79M,5.05%,69839,-
257,TC,TuanChe Limited,2.80M,-8.24%,119368,25.71M
258,ONFO,"Onfolio Holdings, Inc.",2.30M,-2.78%,5754,5.10M
259,GROM,"Grom Social Enterprises, Inc.",2.13M,2.50%,1057997,4.70M
