,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
168,VTOL,Bristow Group Inc.,724.07M,0.43%,71626,1.30B
169,TELL,Tellurian Inc.,720.66M,0.35%,36583760,166.13M
170,VTS,"Vitesse Energy, Inc.",682.45M,-0.98%,197693,233.91M
171,NOA,North American Construction Group Ltd.,678.59M,-8.87%,283772,719.71M
172,TK,Teekay Corporation,653.42M,1.25%,531346,1.52B
173,LEU,Centrus Energy Corp.,610.49M,-0.41%,184946,320.20M
174,PBT,Permian Basin Royalty Trust,598.92M,4.63%,137022,29.10M
175,NR,"Newpark Resources, Inc.",593.86M,1.72%,666574,749.60M
176,REPX,"Riley Exploration Permian, Inc.",580.18M,-0.63%,60499,375.05M
177,BRY,Berry Corporation,574.02M,-0.69%,1327687,903.46M
178,OBE,Obsidian Energy Ltd.,572.29M,4.76%,609035,514.59M
179,EGY,"VAALCO Energy, Inc.",561.55M,19.73%,6605692,402.50M
180,DEC,Diversified Energy Company PLC,560.44M,-,120574,-
181,CLNE,Clean Energy Fuels Corp.,555.86M,-3.49%,1475916,425.16M
182,TTI,"TETRA Technologies, Inc.",555.57M,-1.41%,1680606,626.26M
183,TXO,TXO Partners L.P.,555.34M,4.15%,27275,380.72M
184,GPRK,GeoPark Limited,524.70M,-0.11%,338432,787.86M
185,SD,"SandRidge Energy, Inc.",510.51M,1.03%,412800,148.64M
186,OSG,"Overseas Shipholding Group, Inc.",429.97M,0.17%,250726,451.87M
187,URG,Ur-Energy Inc.,416.81M,-2.70%,5587788,17.68M
188,SGU,"Star Group, L.P.",382.42M,-2.10%,14516,1.83B
189,WTI,"W&T Offshore, Inc.",374.49M,-1.57%,3155200,532.66M
190,SOI,"Solaris Oilfield Infrastructure, Inc.",359.36M,-1.19%,655540,292.95M
191,OIS,"Oil States International, Inc.",357.97M,-0.53%,1515164,782.28M
192,REI,"Ring Energy, Inc.",354.30M,5.29%,3541418,361.06M
193,BOOM,DMC Global Inc.,344.48M,-0.63%,162868,719.19M
194,CCLP,CSI Compressco LP,320.62M,0.45%,279370,386.13M
195,UROY,Uranium Royalty Corp.,284.03M,-2.88%,2126557,21.29M
196,HNRG,Hallador Energy Company,272.76M,-6.65%,680783,634.48M
197,SJT,San Juan Basin Royalty Trust,262.41M,2.35%,267703,78.31M
198,BROG,Brooge Energy Limited,257.53M,-2.30%,539,-
199,RNGR,"Ranger Energy Services, Inc.",253.59M,0.72%,114983,636.60M
200,AMPY,Amplify Energy Corp.,235.24M,-0.82%,512926,307.60M
201,FET,"Forum Energy Technologies, Inc.",227.62M,1.53%,38737,738.86M
