,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
151,KBH,KB Home,5.31B,-4.67%,1461046,6.41B
152,PII,Polaris Inc.,5.21B,-1.80%,617408,8.93B
153,ASO,"Academy Sports and Outdoors, Inc.",5.14B,2.80%,2381387,6.11B
154,SKY,Skyline Champion Corporation,4.94B,-6.32%,319321,1.98B
155,COLM,Columbia Sportswear Company,4.80B,-1.00%,479865,3.49B
156,LOT,Lotus Technology Inc.,4.77B,-3.93%,48753,139.59M
157,AAP,"Advance Auto Parts, Inc.",4.76B,-0.48%,2392485,11.29B
158,SLGN,Silgan Holdings Inc.,4.74B,-0.25%,434921,5.99B
159,DOOO,BRP Inc.,4.72B,-0.65%,139404,7.85B
160,MDC,"M.D.C. Holdings, Inc.",4.71B,-0.05%,1578075,4.64B
161,HGV,Hilton Grand Vacations Inc.,4.66B,-3.49%,725129,3.98B
162,AEO,"American Eagle Outfitters, Inc.",4.58B,-0.56%,3517197,5.08B
163,GME,GameStop Corp.,4.47B,-1.61%,2526364,5.71B
164,SIG,Signet Jewelers Limited,4.39B,-0.94%,538478,7.34B
165,SHAK,Shake Shack Inc.,4.38B,0.82%,716822,1.09B
166,IGT,International Game Technology PLC,4.36B,-4.55%,4560742,4.79B
167,MOD,Modine Manufacturing Company,4.33B,2.18%,1029665,2.42B
168,ABG,"Asbury Automotive Group, Inc.",4.29B,-2.72%,238413,14.80B
169,GOLF,Acushnet Holdings Corp.,3.94B,-0.91%,270217,2.38B
170,URBN,"Urban Outfitters, Inc.",3.89B,1.15%,1195409,5.05B
171,RUSHB,"Rush Enterprises, Inc.",3.81B,-1.71%,18476,7.93B
172,WEN,The Wendy's Company,3.81B,-1.46%,2992025,2.18B
173,RUSHA,"Rush Enterprises, Inc.",3.79B,-0.06%,330526,7.93B
174,ZGN,Ermenegildo Zegna N.V.,3.70B,-,883991,1.83B
175,TRIP,"Tripadvisor, Inc.",3.68B,0.86%,1443588,1.79B
176,GPI,"Group 1 Automotive, Inc.",3.64B,-1.24%,119919,17.87B
177,GT,The Goodyear Tire & Rubber Company,3.53B,-1.43%,3099544,20.07B
178,PSNY,Polestar Automotive Holding UK PLC,3.52B,-6.59%,2490738,2.83B
179,DFH,"Dream Finders Homes, Inc.",3.52B,-8.43%,567380,3.75B
180,UA,"Under Armour, Inc.",3.46B,-10.15%,16244715,5.77B
181,VAC,Marriott Vacations Worldwide Corporation,3.45B,-0.21%,1539301,4.73B
182,MHO,"M/I Homes, Inc.",3.41B,-5.54%,248045,4.03B
183,KTB,"Kontoor Brands, Inc.",3.39B,-2.24%,646666,2.61B
184,TPH,"Tri Pointe Homes, Inc.",3.36B,-3.92%,1763804,3.72B
185,YETI,"YETI Holdings, Inc.",3.33B,-2.93%,1831749,1.66B
