,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
131,SSD,"Simpson Manufacturing Co., Inc.",8.35B,-2.30%,272957,2.21B
132,KBR,"KBR, Inc.",8.19B,-0.85%,921659,6.96B
133,WCC,"WESCO International, Inc.",8.13B,-2.03%,443528,22.39B
134,AYI,"Acuity Brands, Inc.",7.91B,-0.30%,142507,3.89B
135,RBC,RBC Bearings Incorporated,7.75B,-1.99%,98049,1.54B
136,SITE,"SiteOne Landscape Supply, Inc.",7.63B,-3.81%,368189,4.30B
137,OSK,Oshkosh Corporation,7.60B,-1.16%,372455,9.66B
138,PAC,"Grupo Aeroportuario del Pacífico, SAB de CV",7.52B,2.63%,84337,1.41B
139,IEP,Icahn Enterprises L.P.,7.40B,-0.80%,566602,10.85B
140,MSA,MSA Safety Incorporated,7.35B,-1.69%,100831,1.79B
141,FCN,"FTI Consulting, Inc.",7.25B,-0.02%,238268,3.49B
142,AIT,"Applied Industrial Technologies, Inc.",7.18B,0.75%,305123,4.46B
143,AZEK,The AZEK Company Inc.,6.99B,-0.81%,720851,1.39B
144,GNRC,Generac Holdings Inc.,6.91B,-1.64%,609245,4.02B
145,MTZ,"MasTec, Inc.",6.87B,-2.70%,665593,12.00B
146,IBP,"Installed Building Products, Inc.",6.87B,-0.17%,246842,2.78B
147,WTS,"Watts Water Technologies, Inc.",6.74B,-0.68%,98170,2.06B
148,LSTR,"Landstar System, Inc.",6.65B,-1.47%,225594,5.30B
149,AAON,"AAON, Inc.",6.58B,0.74%,406477,1.17B
150,FLR,Fluor Corporation,6.55B,0.13%,1652557,15.47B
151,ATKR,Atkore Inc.,6.47B,-1.28%,562760,3.48B
152,CR,Crane Company,6.42B,-1.88%,220014,2.42B
153,TNET,"TriNet Group, Inc.",6.36B,-0.11%,164601,4.92B
154,CAE,CAE Inc.,6.31B,-0.50%,654651,3.38B
155,ATI,ATI Inc.,6.26B,-1.53%,1206516,4.17B
156,ADT,ADT Inc.,6.24B,2.11%,7521630,4.98B
157,GTLS,"Chart Industries, Inc.",6.18B,-1.52%,334596,3.35B
158,TKR,The Timken Company,6.10B,-1.86%,422407,4.77B
159,HXL,Hexcel Corporation,6.02B,-1.90%,581287,1.79B
160,DRS,"Leonardo DRS, Inc.",5.99B,-4.48%,803494,2.83B
161,ESAB,ESAB Corporation,5.96B,0.20%,364292,2.77B
162,GXO,"GXO Logistics, Inc.",5.93B,0.99%,1170678,9.78B
163,MLI,"Mueller Industries, Inc.",5.90B,-0.46%,481121,3.42B
164,FLS,Flowserve Corporation,5.87B,-1.34%,938450,4.32B
165,FTAI,FTAI Aviation Ltd,5.76B,-1.56%,554941,1.17B
166,LPX,Louisiana-Pacific Corporation,5.66B,-2.54%,1239832,2.58B
167,BECN,"Beacon Roofing Supply, Inc.",5.53B,-0.12%,518280,9.12B
168,CWST,"Casella Waste Systems, Inc.",5.48B,-0.39%,359500,1.26B
169,MSM,"MSC Industrial Direct Co., Inc.",5.45B,-0.81%,505659,4.01B
170,ZWS,Zurn Elkay Water Solutions Corporation,5.45B,-0.95%,678731,1.53B
171,AWI,"Armstrong World Industries, Inc.",5.33B,-0.10%,374100,1.30B
172,SPXC,"SPX Technologies, Inc.",5.30B,-0.58%,164186,1.74B
173,KEX,Kirby Corporation,5.17B,0.22%,311046,3.09B
174,AL,Air Lease Corporation,5.15B,-,1958437,2.68B
175,MMS,"Maximus, Inc.",5.13B,-1.39%,246292,4.98B
176,R,"Ryder System, Inc.",4.99B,-0.61%,234537,11.78B
177,ALK,"Alaska Air Group, Inc.",4.96B,-3.07%,2041060,10.43B
178,MOG.B,Moog Inc.,4.91B,7.90%,55,3.42B
179,SRCL,"Stericycle, Inc.",4.90B,-1.81%,354506,2.66B
180,MOG.A,Moog Inc.,4.85B,-0.44%,87344,3.42B
181,FSS,Federal Signal Corporation,4.81B,-1.08%,590843,1.72B
182,FELE,"Franklin Electric Co., Inc.",4.66B,-0.32%,133270,2.07B
183,GATX,GATX Corporation,4.65B,-1.10%,123496,1.41B
184,MDU,"MDU Resources Group, Inc.",4.58B,0.80%,1673269,4.66B
185,AVAV,"AeroVironment, Inc.",4.54B,-1.93%,406527,705.78M
186,GTES,Gates Industrial Corporation plc,4.51B,-1.33%,6025173,3.57B
187,HRI,Herc Holdings Inc.,4.45B,-0.96%,228223,3.28B
188,CPA,"Copa Holdings, S.A.",4.42B,-1.30%,114155,2.97B
189,VMI,"Valmont Industries, Inc.",4.29B,-1.36%,137065,4.17B
190,ERJ,Embraer S.A.,4.25B,9.51%,5672724,4.54B
191,DY,"Dycom Industries, Inc.",4.14B,-1.51%,277773,4.18B
192,ACA,"Arcosa, Inc.",3.99B,-1.63%,164073,2.31B
193,EXPO,"Exponent, Inc.",3.98B,-1.56%,372461,536.77M
194,SNDR,"Schneider National, Inc.",3.92B,-3.91%,1616153,5.50B
195,TEX,Terex Corporation,3.88B,0.76%,575468,5.15B
196,VRRM,Verra Mobility Corporation,3.88B,-0.09%,1013623,817.31M
197,CAR,"Avis Budget Group, Inc.",3.82B,-4.91%,469635,12.01B
198,BCO,The Brink's Company,3.78B,-1.41%,189893,4.87B
199,ENS,EnerSys,3.73B,-1.42%,182131,3.66B
200,CBZ,"CBIZ, Inc.",3.73B,1.00%,447400,1.59B
201,CAAP,Corporación América Airports S.A.,3.72B,2.34%,273490,1.65B
202,KAI,Kadant Inc.,3.71B,-3.02%,136360,957.67M
203,OMAB,"Grupo Aeroportuario del Centro Norte, SAB de CV",3.70B,1.24%,48260,612.67M
204,GMS,GMS Inc.,3.70B,0.69%,490258,5.39B
205,MATX,"Matson, Inc.",3.68B,-1.13%,328989,3.09B
206,AEIS,"Advanced Energy Industries, Inc.",3.66B,-1.33%,221062,1.66B
207,NSP,"Insperity, Inc.",3.66B,0.21%,422376,6.49B
208,SPR,"Spirit AeroSystems Holdings, Inc.",3.65B,-1.56%,2362292,6.05B
209,ATS,ATS Corporation,3.63B,2.16%,62925,2.20B
210,MAN,ManpowerGroup Inc.,3.60B,-2.82%,392687,18.91B
211,JOBY,"Joby Aviation, Inc.",3.59B,-4.49%,5684376,1.23M
212,CSWI,"CSW Industrials, Inc.",3.58B,-0.01%,124459,777.67M
213,WIRE,Encore Wire Corporation,3.56B,-1.63%,189134,2.57B
214,GFF,Griffon Corporation,3.42B,1.42%,473677,2.68B
215,CXT,"Crane NXT, Co.",3.41B,-1.48%,444091,1.39B
216,STRL,"Sterling Infrastructure, Inc.",3.40B,-1.38%,241968,1.97B
217,HI,"Hillenbrand, Inc.",3.38B,-3.02%,224866,2.94B
218,ENOV,Enovis Corporation,3.35B,-2.16%,252599,1.71B
219,REZI,"Resideo Technologies, Inc.",3.33B,-1.26%,949349,6.24B
220,KFY,Korn Ferry,3.30B,-1.79%,570326,2.83B
221,CRS,Carpenter Technology Corporation,3.24B,-1.37%,340376,2.72B
222,NPO,"EnPro Industries, Inc.",3.24B,-1.53%,140749,1.06B
223,UNF,UniFirst Corporation,3.23B,-2.92%,75448,2.28B
224,JBT,John Bean Technologies Corporation,3.22B,-3.23%,188126,1.66B
225,WOR,"Worthington Industries, Inc.",3.15B,-2.16%,315057,4.61B
226,ARCB,ArcBest Corporation,3.15B,-3.61%,401234,4.43B
227,SEB,Seaboard Corporation,3.14B,-0.26%,4553,9.56B
228,HAYW,"Hayward Holdings, Inc.",3.04B,-0.97%,1051869,992.45M
229,MGRC,McGrath RentCorp,2.92B,-0.95%,210112,831.84M
230,ICFI,"ICF International, Inc.",2.88B,-0.83%,69025,1.96B
231,DOOR,Masonite International Corporation,2.87B,0.05%,369042,2.83B
232,BRC,Brady Corporation,2.79B,-0.17%,435463,1.34B
233,ROAD,"Construction Partners, Inc.",2.75B,0.36%,320133,1.62B
234,SKYW,"SkyWest, Inc.",2.72B,-2.23%,610847,2.94B
235,ABM,ABM Industries Incorporated,2.67B,-1.21%,608625,8.17B
236,HUBG,"Hub Group, Inc.",2.66B,-2.25%,491136,4.20B
237,KTOS,"Kratos Defense & Security Solutions, Inc.",2.62B,-0.91%,1040272,1.04B
238,MYRG,MYR Group Inc.,2.61B,-1.69%,104113,3.64B
239,GOGL,Golden Ocean Group Limited,2.58B,-2.05%,1765945,885.77M
240,LZ,"LegalZoom.com, Inc.",2.55B,-1.92%,850146,660.73M
241,ALG,Alamo Group Inc.,2.46B,-0.96%,77402,1.69B
242,MWA,"Mueller Water Products, Inc.",2.43B,-0.32%,821148,1.22B
243,RXO,"RXO, Inc.",2.41B,-2.37%,537527,3.93B
244,WERN,"Werner Enterprises, Inc.",2.41B,-2.36%,710488,3.28B
245,PGTI,"PGT Innovations, Inc.",2.40B,0.05%,1466577,1.50B
246,GVA,Granite Construction Incorporated,2.39B,0.22%,268492,3.51B
247,HTZ,"Hertz Global Holdings, Inc.",2.38B,-3.85%,3177850,9.37B
248,JBLU,JetBlue Airways Corporation,2.37B,2.71%,14351948,9.62B
249,FA,First Advantage Corporation,2.30B,0.76%,635905,763.76M
250,PLUG,Plug Power Inc.,2.30B,-0.60%,34013531,891.34M
251,ROCK,"Gibraltar Industries, Inc.",2.30B,-1.31%,164562,1.38B
252,AIR,AAR Corp.,2.29B,-0.46%,241521,2.17B
